Model,Total Compile Time,Total Sample Size,Compile Time Per Sample,train-accuracy_score,test-accuracy_score,train-precision_score,test-precision_score,train-recall_score,test-recall_score,train-f1_score,test-f1_score,train-time,test-time
RandomForestClassifier,26.066136598587036,80716,0.000322936426465472,1.0,0.9752737723601407,1.0,0.9684448585607606,1.0,0.9748603608400124,1.0,0.9715560771898419,1.449982896303184e-06,5.799356793915456e-06
Model,Total Compile Time,Total Sample Size,Compile Time Per Sample,train-accuracy_score,test-accuracy_score,train-precision_score,test-precision_score,train-recall_score,test-recall_score,train-f1_score,test-f1_score,train-time,test-time
RandomForestClassifier,25.73265504837036,80716,0.00031880488438934486,1.0,0.974629602100986,1.0,0.9669161151127295,1.0,0.9751539733765817,1.0,0.9708736780323045,1.4495280117551188e-06,5.7975374360451e-06
Model,Total Compile Time,Total Sample Size,Compile Time Per Sample,train-accuracy_score,test-accuracy_score,train-precision_score,test-precision_score,train-recall_score,test-recall_score,train-f1_score,test-f1_score,train-time,test-time
Model,Total Compile Time,Total Sample Size,Compile Time Per Sample,train-accuracy_score,test-accuracy_score,train-precision_score,test-precision_score,train-recall_score,test-recall_score,train-f1_score,test-f1_score,train-time,test-time
Model,Total Compile Time,Total Sample Size,Compile Time Per Sample,train-accuracy_score,test-accuracy_score,train-precision_score,test-precision_score,train-recall_score,test-recall_score,train-f1_score,test-f1_score,train-time,test-time
RandomForestClassifier,24.842691898345947,80716,0.0003077790264426625,1.0,0.9748773598929686,1.0,0.9680912447874572,1.0,0.974273869542247,1.0,0.9710929109267293,1.4123574458274952e-06,5.648869907210352e-06
Model,Total Compile Time,Total Sample Size,Compile Time Per Sample,train-accuracy_score,test-accuracy_score,train-precision_score,test-precision_score,train-recall_score,test-recall_score,train-f1_score,test-f1_score,train-time,test-time
RandomForestClassifier,26.30616307258606,80716,0.00032591014263078024,1.0,0.9747782567761756,1.0,0.9677469817316684,1.0,0.974456152996602,1.0,0.9709956169060077,1.4123840299893953e-06,5.6489762333196585e-06
Model,Total Compile Time,Total Sample Size,Compile Time Per Sample,train-accuracy_score,test-accuracy_score,train-precision_score,test-precision_score,train-recall_score,test-recall_score,train-f1_score,test-f1_score,train-time,test-time
RandomForestClassifier,25.513038396835327,80716,0.00031608402791064136,1.0,0.9747287052177791,1.0,0.9674782877004474,1.0,0.9746746132833137,1.0,0.9709541606115875,1.4247574804559252e-06,5.698465130195752e-06
KNeighborsClassifier,0.010005712509155273,80716,1.239619469393339e-07,0.9994672679518312,0.6789554531490015,0.9993677223942758,0.5850606551373458,0.9993789914111317,0.5339754038494879,0.999373356658694,0.507912674250782,1.3033343209780339e-05,5.212820625938407e-05
DecisionTreeClassifier,1.6150217056274414,80716,2.0008693513398106e-05,1.0,0.9657598731480105,1.0,0.9572933167628627,1.0,0.9642221708010643,1.0,0.9606408858358453,3.716170454032358e-08,1.4863208679831315e-07
Model,Total Compile Time,Total Sample Size,Compile Time Per Sample,train-accuracy_score,test-accuracy_score,train-precision_score,test-precision_score,train-recall_score,test-recall_score,train-f1_score,test-f1_score,train-time,test-time
RandomForestClassifier,26.363341569900513,80716,0.00032661853374672323,1.0,0.9741836380754175,1.0,0.9671991933148834,1.0,0.9735976358098763,1.0,0.9703020365048249,1.3999367346286985e-06,5.599191986139936e-06
KNeighborsClassifier,0.01000523567199707,80716,1.2395603934780055e-07,0.9994672679518312,0.6789554531490015,0.9993677223942758,0.5850606551373458,0.9993789914111317,0.5339754038494879,0.999373356658694,0.507912674250782,1.3491778220357185e-05,5.396176457233787e-05
DecisionTreeClassifier,1.7310066223144531,80716,2.1445644262778793e-05,1.0,0.9598136861404292,1.0,0.953023773190872,1.0,0.9539818576598641,1.0,0.9535006162944564,3.716761213185689e-08,1.4865571482260348e-07
Model,Total Compile Time,Total Sample Size,Compile Time Per Sample,train-accuracy_score,test-accuracy_score,train-precision_score,test-precision_score,train-recall_score,test-recall_score,train-f1_score,test-f1_score,train-time,test-time
RandomForestClassifier,25.495491981506348,80716,0.0003158666433111942,1.0,0.9749269114513651,1.0,0.9677694942495567,1.0,0.97481932061274,1.0,0.9711772357995276,1.511475016573469e-06,6.045300898753488e-06
Model,Total Compile Time,Total Sample Size,Compile Time Per Sample,train-accuracy_score,test-accuracy_score,train-precision_score,test-precision_score,train-recall_score,test-recall_score,train-f1_score,test-f1_score,train-time,test-time
RandomForestClassifier,25.857479572296143,80716,0.00032035135007057016,1.0,0.9747287052177791,1.0,0.9678055263384397,1.0,0.9742502180848668,1.0,0.9709302548907159,1.3999455960159987e-06,5.599227428176371e-06
Model,Total Compile Time,Total Sample Size,Compile Time Per Sample,train-accuracy_score,test-accuracy_score,train-precision_score,test-precision_score,train-recall_score,test-recall_score,train-f1_score,test-f1_score,train-time,test-time
RandomForestClassifier,26.937790393829346,80716,0.00033373544766625383,1.0,0.9747782567761756,1.0,0.9676161554391183,1.0,0.974625911075981,1.0,0.971005158343931,1.4367233071066566e-06,5.746323693395813e-06
KNeighborsClassifier,0.009000778198242188,80716,1.1151169778287065e-07,0.9994672679518312,0.6789554531490015,0.9993677223942758,0.5850606551373458,0.9993789914111317,0.5339754038494879,0.999373356658694,0.507912674250782,1.4541855569199851e-05,5.8161657703955955e-05
DecisionTreeClassifier,1.6891860961914062,80716,2.092752485494086e-05,1.0,0.9644219810713047,1.0,0.9567258854637275,1.0,0.9613780574542704,1.0,0.9589997946871276,2.506886467162596e-08,1.0026552107601016e-07
Model,Total Compile Time,Total Sample Size,Compile Time Per Sample,train-accuracy_score,test-accuracy_score,train-precision_score,test-precision_score,train-recall_score,test-recall_score,train-f1_score,test-f1_score,train-time,test-time
RandomForestClassifier,26.417908906936646,80716,0.00032729457489142976,1.0,0.9747782567761756,1.0,0.9676814638384117,1.0,0.9745410320362915,1.0,0.9710003897197164,1.4122895085248621e-06,5.648598184931013e-06
Model,Total Compile Time,Total Sample Size,Compile Time Per Sample,train-accuracy_score,test-accuracy_score,train-precision_score,test-precision_score,train-recall_score,test-recall_score,train-f1_score,test-f1_score,train-time,test-time
RandomForestClassifier,25.99886703491211,80716,0.0003221030159437052,1.0,0.9747287052177791,1.0,0.9675433166381882,1.0,0.9745897342436243,1.0,0.9709493878611839,1.3999869491567317e-06,5.599392824346403e-06
Model,Total Compile Time,Total Sample Size,Compile Time Per Sample,train-accuracy_score,test-accuracy_score,train-precision_score,test-precision_score,train-recall_score,test-recall_score,train-f1_score,test-f1_score,train-time,test-time
RandomForestClassifier,27.28986382484436,80716,0.00033809732673626493,1.0,0.9738863287250384,1.0,0.9667284524379698,1.0,0.9734230143355818,1.0,0.9699699216295994,1.5114720627777026e-06,6.045289084741343e-06
Model,Total Compile Time,Total Sample Size,Compile Time Per Sample,train-accuracy_score,test-accuracy_score,train-precision_score,test-precision_score,train-recall_score,test-recall_score,train-f1_score,test-f1_score,train-time,test-time
RandomForestClassifier,24.800135612487793,80716,0.00030725179162108864,1.0,0.9747287052177791,1.0,0.9673488561219727,1.0,0.9748443713626925,1.0,0.9709636935452689,1.4121418187365293e-06,5.648007484323755e-06
Model,Total Compile Time,Total Sample Size,Compile Time Per Sample,train-accuracy_score,test-accuracy_score,train-precision_score,test-precision_score,train-recall_score,test-recall_score,train-f1_score,test-f1_score,train-time,test-time
RandomForestClassifier,26.2845299243927,80716,0.0003256421270180968,1.0,0.9744313958674,1.0,0.9673672676302201,1.0,0.9740331570907275,1.0,0.9705955251327119,1.4371427461055221e-06,5.7480012831204264e-06
Model,Total Compile Time,Total Sample Size,Compile Time Per Sample,train-accuracy_score,test-accuracy_score,train-precision_score,test-precision_score,train-recall_score,test-recall_score,train-f1_score,test-f1_score,train-time,test-time
RandomForestClassifier,25.427505254745483,80716,0.00031502434777176127,1.0,0.9744809474257965,1.0,0.9669539905743927,1.0,0.9747059267207545,1.0,0.9706874331062663,1.4243085034993934e-06,5.6966694003496865e-06
Model,Total Compile Time,Total Sample Size,Compile Time Per Sample,train-accuracy_score,test-accuracy_score,train-precision_score,test-precision_score,train-recall_score,test-recall_score,train-f1_score,test-f1_score,train-time,test-time
